recorded_hour,wind_sin,wind_cos
1766592000,5.35,9.08
1766595600,3.58,7.06
1766599200,3.24,6.46
1766602800,4.33,6.18
1766606400,2.07,5.21
1766610000,3.97,4.92
1766613600,4.39,6.07
1766617200,3.41,4.5
1766620800,2.2,3.29
1766624400,0.4,3.3
1766628000,1.42,4.31
1766631600,0.96,3.4
1766635200,1.39,4.24
1766638800,1.86,5.1
1766642400,0.75,3.97
1766646000,1.71,3.85
1766649600,0.74,4.08
1766653200,1.05,3.01
1766656800,0.04,0.71
1766660400,3.94,0.4
1766664000,5.24,-1.24
1766667600,4.54,-0.01
1766671200,3.75,-0.59
1766674800,1.22,1.62
1766678400,0.57,2.71
1766682000,-0.11,0.74
1766685600,0.0,0.0
1766689200,-0.03,0.16
1766692800,-0.39,1.22
1766696400,-0.42,0.57
1766700000,-0.13,1.07
1766703600,0.19,0.66
1766707200,-0.1,2.52
1766710800,-0.55,1.16
1766714400,-1.17,1.78
1766718000,0.33,0.45
1766721600,0.21,0.22
1766725200,0.32,-0.36
1766728800,0.0,0.0
1766732400,0.02,0.2
1766736000,0.0,0.0
1766739600,-0.12,-0.24
1766743200,-1.31,-0.24
1766746800,-0.41,-0.12
1766750400,0.18,-0.28
1766754000,-0.35,0.24
1766757600,-0.14,0.43
1766761200,0.0,0.0
1766764800,0.0,0.0
1766768400,0.0,0.0
1766772000,0.0,0.0
1766775600,0.0,0.0
1766779200,0.0,0.0
1766782800,0.0,0.0
1766786400,0.0,0.0
1766790000,0.07,0.15
1766793600,0.16,0.03
1766797200,0.0,0.0
1766800800,0.09,0.51
1766804400,-1.4,3.87
1766808000,-1.01,1.38
1766811600,-2.04,3.63
1766815200,-2.17,4.3
1766818800,-2.38,3.05
1766822400,-0.11,-0.2
1766826000,0.25,0.8
1766829600,-0.47,1.44
1766833200,-0.9,2.06
1766836800,-0.85,1.41
1766840400,-0.18,-0.41
1766844000,-0.65,-0.2
1766847600,-0.76,-0.23
1766851200,-0.43,1.34
1766854800,0.14,0.25
1766858400,0.29,-0.1
1766862000,0.4,-0.47
1766865600,-1.69,1.84
1766869200,-1.26,1.12
1766872800,0.52,1.7
1766876400,-0.03,0.88
1766880000,0.41,0.94
1766883600,0.63,1.58
1766887200,1.95,3.17
1766890800,1.43,2.9
1766894400,2.05,1.07
1766898000,3.01,1.87
1766901600,2.72,2.13
1766905200,1.96,1.33
1766908800,1.72,1.58
1766912400,2.77,0.24
1766916000,5.12,-3.36
1766919600,3.98,-2.89
1766923200,2.75,-0.8
1766926800,0.4,3.51
1766930400,0.45,2.94
1766934000,-0.29,1.46
1766937600,0.0,0.0
1766941200,0.1,0.96
1766944800,0.01,1.49
1766948400,-0.72,-1.35
1766952000,0.0,0.0
1766955600,-0.4,0.2
1766959200,-0.22,-0.5
1766962800,0.72,-1.01
1766966400,0.49,-0.22
1766970000,0.44,-0.32
1766973600,-0.54,-0.11
1766977200,0.0,0.0
1766980800,0.0,0.0
1766984400,0.14,0.08
1766988000,0.0,0.0
1766991600,0.55,-0.24
1766995200,0.11,1.47
1766998800,-1.0,2.4
1767002400,-0.08,1.58
1767006000,1.18,2.98
1767009600,1.34,3.33
1767013200,2.88,4.32
1767016800,2.43,3.86
1767020400,2.5,4.47
1767024000,1.64,1.3
1767027600,4.96,2.49
1767031200,0.72,0.71
1767034800,0.66,1.96
1767038400,0.44,1.13
1767042000,0.26,0.36
1767045600,-0.08,0.14
1767049200,-0.17,0.38
1767052800,-0.18,0.58
1767056400,0.91,1.9
1767060000,0.97,2.43
1767063600,0.36,1.92
1767067200,0.73,1.62
1767070800,0.35,1.26
1767074400,0.33,0.55
1767078000,0.51,1.56
1767081600,-0.15,0.51
1767085200,-0.22,0.61
1767088800,0.19,1.45
1767092400,1.28,4.31
1767096000,1.88,3.32
1767099600,2.05,1.54
1767103200,1.7,2.91
1767106800,0.59,2.27
1767110400,0.03,0.27
1767114000,0.0,0.0
1767117600,0.0,0.0
1767121200,0.0,0.0
1767124800,0.0,0.0
1767128400,0.0,0.0
1767132000,0.28,0.03
1767135600,0.48,0.02
1767139200,0.0,0.0
1767142800,0.24,0.11
1767146400,0.65,-0.08
1767150000,0.0,0.0
1767153600,0.0,0.0
1767157200,0.0,0.0
1767160800,0.0,0.0
1767164400,0.3,-0.1
1767168000,0.0,0.0
1767171600,0.31,-0.25
1767175200,0.0,0.0
1767178800,0.0,0.0
1767182400,0.0,0.0
1767186000,-2.14,-0.11
1767189600,-1.18,0.39
1767193200,-1.02,-0.28
1767196800,-1.72,-0.39
1767200400,-2.5,-0.57
1767204000,-4.32,-0.16
1767207600,-2.43,-1.31
1767211200,-1.48,-1.05
1767214800,-2.35,-1.9
1767218400,-1.6,-1.72
1769814000,5.33,-4.12
1769817600,6.0,-4.26
1769821200,5.11,-3.49
1769824800,3.87,-2.59
1769828400,1.79,-2.45
1769832000,1.23,-1.47
1769835600,1.45,-1.89
1769839200,1.21,-1.8
1769842800,2.08,-2.29
1769846400,1.47,-2.31
1769850000,0.66,-1.08
1769853600,1.8,-2.57
1769857200,-0.87,-2.93
1769860800,-1.56,-3.32
1769864400,-0.2,-3.54
1769868000,1.31,-8.59
1769871600,2.94,-2.54
1769875200,0.36,-0.36
1769878800,0.39,-0.17
1769882400,0.39,-0.17
1769886000,0.46,-0.13
1769889600,0.95,-0.34
1769893200,0.32,-0.11
1769896800,3.25,-1.47
1769900400,2.01,-0.3
1769904000,1.49,-0.83
1769907600,2.74,-4.75
1769911200,3.44,-3.59
1769914800,3.59,-3.41
1769918400,2.97,-3.24
1769922000,3.37,-2.95
1769925600,4.08,-3.4
1769929200,3.42,-4.33
1769932800,3.92,-3.94
1769936400,3.02,-4.84
1769940000,2.78,-5.99
1769943600,2.03,-3.74
1769947200,4.77,-4.57
1769950800,4.92,-4.23
1769954400,6.28,-4.57
1769958000,4.66,-3.2
1769961600,4.45,-1.37
1769965200,6.04,-3.84
1769968800,5.07,-2.92
1769972400,7.42,-2.96
1769976000,7.22,-5.93
1769979600,6.7,-5.43
1769983200,6.26,-5.43
1769986800,4.16,-4.6
1769990400,4.94,-3.55
1769994000,3.93,-3.89
1769997600,4.56,-4.22
1770001200,2.89,-0.88
1770004800,3.87,-1.75
1770008400,3.7,-2.86
1770012000,2.06,-0.8
1770015600,4.13,-3.2
1770019200,4.52,-3.62
1770022800,3.79,-3.87
1770026400,4.7,-4.31
1770030000,4.97,-4.79
1770033600,3.91,-4.02
1770037200,6.28,-1.57
1770040800,4.96,-0.84
1770044400,4.47,-3.32
1770048000,3.15,-1.77
1770051600,3.89,-1.72
1770055200,3.62,-1.89
1770058800,5.74,-1.45
1770062400,5.81,-2.0
1770066000,7.81,-2.54
1770069600,6.8,-2.9
1770073200,4.69,-2.53
1770076800,5.64,-2.54
1770080400,6.85,-2.49
1770084000,4.91,-2.2
1770087600,3.44,-1.53
1770091200,4.61,-1.41
1770094800,4.11,-1.98
1770098400,3.68,-1.54
1770102000,5.48,-3.49
1770105600,8.3,-4.89
1770109200,8.24,-6.25
1770112800,11.05,-11.41
1770116400,12.22,-6.06
1770120000,7.31,-5.97
1770123600,-4.04,-6.99
1770127200,-2.69,-3.38
1770130800,-1.02,-3.92
1770134400,-0.71,-6.59
1770138000,0.77,-4.21
1770141600,0.77,-4.39
1770145200,2.53,-3.62
1770148800,2.61,-5.7
1770152400,0.88,-4.98
1770156000,3.9,-3.86
1770159600,3.24,-3.01
