recorded_hour,humidity,pressure,temperature,wind_sin,wind_cos,hour_sin,hour_cos,day_sin,day_cos,pressure_minus_3h,pressure_trend_3h,forecast_temperature,forecast_humidity,forecast_pressure,forecast_wind_sin,forecast_wind_cos
1765252800,96,1008.2,9.4333333333333,3.1098339946341,-2.9276007599192,0.96592582628907,0.25881904510252,-0.37347653741307,0.92763962614905,1010.2,-1.9999999999998,9.6,97,1014.8,2.1557042083017,-4.8417909255058
1765256400,94.666666666667,1007.95,9.6166666666667,3.8114535224053,-3.1260952489052,1,6.1232339957368E-17,-0.37347653741307,0.92763962614905,1009.7333333333,-1.7833333333333,9.2,97,1014.9,1.7231903297132,-4.2650457310072
1765260000,93.833333333333,1007.8,9.8,4.727826290199,-3.1357307186072,0.96592582628907,-0.25881904510252,-0.37347653741307,0.92763962614905,1008.7666666667,-0.9666666666667,9.3,97,1014.9,2.1791543987498,-4.2768313161042
1765263600,94.166666666667,1007.7166666667,9.75,2.7659267308612,-5.7654856787566,0.86602540378444,-0.5,-0.37347653741307,0.92763962614905,1008.2,-0.48333333333346,9.1,97,1014.8,1.5529142706151,-5.7955549577344
1765267200,94.5,1007.8166666667,9.5166666666667,2.8923185104138,-4.667590450987,0.70710678118655,-0.70710678118655,-0.37347653741307,0.92763962614905,1007.95,-0.13333333333333,8.7,98,1014.2,0.73169924287358,-6.9616532675779
1765270800,93.666666666667,1008.05,9.7166666666667,3.4589349454666,-3.686037917453,0.5,-0.86602540378444,-0.37347653741307,0.92763962614905,1007.8,0.25,9,98,1014.5,0.92296334373736,-5.8273612095113
1765274400,90.833333333333,1007.8666666667,10.683333333333,3.2677356839368,-4.2634416315941,0.25881904510252,-0.96592582628907,-0.37347653741307,0.92763962614905,1007.7166666667,0.15000000000009,9.9,95,1014.4,1.1643054685795,-5.4776265641093
1765278000,86.5,1007.3666666667,11.6,1.3993520356824,-7.2982158278804,1.2246467991474E-16,-1,-0.37347653741307,0.92763962614905,1007.8166666667,-0.44999999999993,10.7,90,1013.8,0.33495011995484,-6.3912290224293
1765281600,85.166666666667,1007.0166666667,12.066666666667,2.4959519467387,-6.1115143729107,-0.25881904510252,-0.96592582628907,-0.37347653741307,0.92763962614905,1008.05,-1.0333333333333,11.7,85,1013.6,0.25127637625801,-7.1956139545375
1765285200,83.666666666667,1006.6166666667,12.366666666667,2.8511929743413,-6.2802988126646,-0.5,-0.86602540378444,-0.37347653741307,0.92763962614905,1007.8666666667,-1.25,12,83,1013.3,-0.3663516937006,-6.990406743282
